,state,agi_stub,returns,agi,inc,wages,interest,dividends,business,capital_gains,s_corp,rent,year,total,top_01,top_05,top_10,top_50,agi_01,agi_05,agi_10,agi_50,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_50,total_sal_amt,sum_sal_01,sum_sal_05,sum_sal_10,sum_sal_50,total_int_amt,sum_int_01,sum_int_05,sum_int_10,sum_int_50,total_div_amt,sum_div_01,sum_div_05,sum_div_10,sum_div_50,total_businc_amt,sum_businc_01,sum_businc_05,sum_businc_10,sum_businc_50,total_cpgain_amt,sum_cpgain_01,sum_cpgain_05,sum_cpgain_10,sum_cpgain_50,total_scorp_amt,sum_scorp_01,sum_scorp_05,sum_scorp_10,sum_scorp_50,agi_stub_cat
28,AK,6,35110,3045021,3079040,2355484,15731,30854,95633,22846,25985,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
29,AK,7,50760,6818417,6898571,5233916,38417,76060,246234,85518,135349,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
30,AK,8,10410,2884970,2948493,1802572,29813,63945,219980,138468,298064,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
31,AK,9,1390,942746,969015,385988,14655,30536,81738,82143,288059,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
32,AK,10,700,1714390,1740505,377783,31110,107664,46385,415994,657062,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
33,AZ,0,2761490,151832947,153963054,107962804,1800300,3772468,4804997,7167657,7393748,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
34,AZ,1,49690,-5007516,-4953974,386304,133989,85706,-167642,214975,-810858,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
35,AZ,2,380570,2106124,2182546,1586227,40605,59201,247958,-16709,-11977,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
36,AZ,3,706020,12168454,12354235,9308961,99484,153802,906648,5439,39431,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
37,AZ,4,689180,24745434,25035431,20051253,148346,236700,673610,51339,142480,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
38,AZ,5,359300,22089334,22348085,16598797,157601,276468,483978,109562,218533,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
39,AZ,6,224820,19447888,19661355,14282045,136987,262041,422916,136664,262168,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
40,AZ,7,272130,36284557,36731969,26292178,298618,640212,944559,550183,992544,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
41,AZ,8,65010,18363383,18697904,11826817,253158,561631,771460,956632,1865063,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
42,AZ,9,9850,6643429,6770181,3310698,130918,291052,264263,788270,1396703,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
43,AZ,10,4930,14991860,15135322,4319525,400594,1205655,257247,4371301,3299662,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
44,AR,0,1219480,62666234,63436578,42706506,672486,3759899,1846717,3050202,3049801,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
45,AR,1,16690,-1163983,-1146759,106509,23129,17909,-65853,49816,-210659,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
46,AR,2,198260,1089958,1122501,846454,18093,15485,136741,993,-4269,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
47,AR,3,333330,5710947,5787480,4437142,49555,45395,400416,17440,11034,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
48,AR,4,302280,10819312,10933767,8786153,69704,71459,274176,47108,55151,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
