,state,agi_stub,returns,agi,inc,wages,interest,dividends,business,capital_gains,s_corp,rent,year,total,top_01,top_05,top_10,top_50,agi_01,agi_05,agi_10,agi_50,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_50,total_sal_amt,sum_sal_01,sum_sal_05,sum_sal_10,sum_sal_50,total_int_amt,sum_int_01,sum_int_05,sum_int_10,sum_int_50,total_div_amt,sum_div_01,sum_div_05,sum_div_10,sum_div_50,total_businc_amt,sum_businc_01,sum_businc_05,sum_businc_10,sum_businc_50,total_cpgain_amt,sum_cpgain_01,sum_cpgain_05,sum_cpgain_10,sum_cpgain_50,total_scorp_amt,sum_scorp_01,sum_scorp_05,sum_scorp_10,sum_scorp_50,agi_stub_cat
1481,NE,7,105100,13885750,14137121,9967743,79646,221687,304798,501751,580708,,2014,805990.0,8060.0,40300.0,80599.0,402995.0,394602.0,170310.0,125525.0,42021.0,55288139362.0,9354163952.0,16909387484.0,22721246700.0,46536716223.0,37077251004.0,2993405872.0,7492928422.0,11627231838.0,29896083060.0,462509199.0,179377781.0,242449328.0,276097555.0,402210464.0,1150267154.0,503380466.0,708643393.0,808506188.0,1070756655.0,1382876292.0,160144781.0,397748018.0,528373283.0,1036297718.0,3633966387.0,2256654923.0,2798876959.0,3017264195.0,3532215519.0,4407099723.0,2843392088.0,3727303958.0,3979518170.0,4377986861.0,"$100,000 under $200,000"
1482,NE,8,23200,6600565,6771045,3706853,61415,202740,220641,553034,963583,,2014,805990.0,8060.0,40300.0,80599.0,402995.0,394602.0,170310.0,125525.0,42021.0,55288139362.0,9354163952.0,16909387484.0,22721246700.0,46536716223.0,37077251004.0,2993405872.0,7492928422.0,11627231838.0,29896083060.0,462509199.0,179377781.0,242449328.0,276097555.0,402210464.0,1150267154.0,503380466.0,708643393.0,808506188.0,1070756655.0,1382876292.0,160144781.0,397748018.0,528373283.0,1036297718.0,3633966387.0,2256654923.0,2798876959.0,3017264195.0,3532215519.0,4407099723.0,2843392088.0,3727303958.0,3979518170.0,4377986861.0,"$200,000 under $500,000"
1483,NE,9,3660,2443983,2499079,1133358,29214,101996,76827,301398,642193,,2014,805990.0,8060.0,40300.0,80599.0,402995.0,394602.0,170310.0,125525.0,42021.0,55288139362.0,9354163952.0,16909387484.0,22721246700.0,46536716223.0,37077251004.0,2993405872.0,7492928422.0,11627231838.0,29896083060.0,462509199.0,179377781.0,242449328.0,276097555.0,402210464.0,1150267154.0,503380466.0,708643393.0,808506188.0,1070756655.0,1382876292.0,160144781.0,397748018.0,528373283.0,1036297718.0,3633966387.0,2256654923.0,2798876959.0,3017264195.0,3532215519.0,4407099723.0,2843392088.0,3727303958.0,3979518170.0,4377986861.0,"$500,000 under $1,000,000"
1484,NE,10,1670,5710087,5798631,1245926,136545,357702,40204,1829325,1955336,,2014,805990.0,8060.0,40300.0,80599.0,402995.0,394602.0,170310.0,125525.0,42021.0,55288139362.0,9354163952.0,16909387484.0,22721246700.0,46536716223.0,37077251004.0,2993405872.0,7492928422.0,11627231838.0,29896083060.0,462509199.0,179377781.0,242449328.0,276097555.0,402210464.0,1150267154.0,503380466.0,708643393.0,808506188.0,1070756655.0,1382876292.0,160144781.0,397748018.0,528373283.0,1036297718.0,3633966387.0,2256654923.0,2798876959.0,3017264195.0,3532215519.0,4407099723.0,2843392088.0,3727303958.0,3979518170.0,4377986861.0,"$1,000,000 or more"
1485,NV,0,1321700,77642876,78626277,52147040,1086730,2608057,2172081,6846243,4657407,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,No AGI Stub
1486,NV,1,22820,-4059261,-4034719,189355,131000,112723,-145826,218151,-598604,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,Under $1
1487,NV,2,168090,914857,945261,706920,12171,16638,113540,2711,-7839,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$1 under $10,000"
1488,NV,3,320140,5561592,5641419,4461557,27531,40287,395437,18594,11033,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$10,000 under $25,000"
1489,NV,4,358270,12823735,12950401,10835005,42937,72754,272776,58769,46083,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$25,000 under $50,000"
1490,NV,5,178820,10999175,11108440,8527635,45861,94094,200914,88042,81287,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$50,000 under $75,000"
1491,NV,6,105880,9149550,9238243,6762368,43310,98067,173672,108603,104122,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$75,000 under $100,000"
1492,NV,7,128710,17143489,17338604,12068762,119940,280969,422634,423271,435607,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$100,000 under $200,000"
1493,NV,8,30550,8691590,8844355,4856040,128853,336278,394115,708403,875231,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$200,000 under $500,000"
1494,NV,9,5140,3493042,3554567,1479102,82395,197388,156616,495254,739369,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$500,000 under $1,000,000"
1495,NV,10,3290,12925107,13039706,2260296,452732,1358859,188203,4724445,2971118,,2014,1246768.0,12468.0,62338.0,124677.0,623384.0,386791.0,160145.0,115821.0,35401.0,81314008015.0,18177771089.0,29247702098.0,37622242408.0,69573396277.0,51612076666.0,4600256829.0,11356942051.0,17308504238.0,41933058502.0,953824981.0,570808606.0,701608034.0,758391177.0,896427879.0,2486596135.0,1643559898.0,1982155652.0,2111519263.0,2403945859.0,2313969966.0,431077155.0,865362978.0,1064692558.0,1683302626.0,6614981800.0,5399778717.0,6076975609.0,6272890214.0,6573489851.0,5254115728.0,3994052401.0,4751506963.0,4950441603.0,5246993327.0,"$1,000,000 or more"
1496,NH,0,685010,47606625,48383228,34142082,425520,1244905,2152858,2992703,1456060,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,No AGI Stub
1497,NH,1,8300,-506571,-496955,60489,12486,12723,-29914,30373,-108034,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,Under $1
1498,NH,2,99650,492608,509245,402293,7155,12792,38021,3826,-1665,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$1 under $10,000"
1499,NH,3,123330,2131888,2174301,1619965,15904,31515,151437,19075,4929,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$10,000 under $25,000"
1500,NH,4,155050,5651059,5748143,4534182,25941,59173,250205,47564,23742,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$25,000 under $50,000"
1501,NH,5,97400,6011220,6103952,4592099,28892,80478,230087,76696,36383,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$50,000 under $75,000"
1502,NH,6,67920,5896821,5978529,4474459,28162,85538,210435,93186,46889,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$75,000 under $100,000"
1503,NH,7,102000,13775396,13971964,10555251,68307,262868,531497,375723,187817,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$100,000 under $200,000"
1504,NH,8,26640,7447650,7589797,5133435,59294,277743,439397,535182,342784,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$200,000 under $500,000"
1505,NH,9,3260,2175546,2221663,1213092,31493,131267,143928,312978,238670,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$500,000 under $1,000,000"
1506,NH,10,1480,4531008,4582589,1556817,147886,290808,187765,1498100,684545,,2014,620664.0,6207.0,31033.0,62066.0,310332.0,431952.0,200971.0,147458.0,47551.0,47723231629.0,7386076379.0,14080558006.0,19354448478.0,40392191739.0,33733429503.0,3194827596.0,7855858224.0,11841693878.0,27973458386.0,411328351.0,186159341.0,237959585.0,267261778.0,366322527.0,1223512224.0,456277393.0,696144269.0,818999975.0,1131887948.0,2178739282.0,375336611.0,767431215.0,989482715.0,1765676289.0,2943753848.0,1880641152.0,2337819093.0,2529259932.0,2888799902.0,1562533357.0,980845898.0,1264192006.0,1360485281.0,1540041664.0,"$1,000,000 or more"
1507,NJ,0,4342620,353247794,358714152,254812343,3083116,8494590,12526784,19018446,20307321,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,No AGI Stub
1508,NJ,1,54290,-5420577,-5337880,517881,93320,123884,-154273,304155,-1018937,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,Under $1
1509,NJ,2,631710,3200468,3313324,2408471,51433,99192,422624,37868,-12674,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$1 under $10,000"
1510,NJ,3,833500,14213964,14478851,10627589,112955,205036,1265130,114324,45677,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$10,000 under $25,000"
1511,NJ,4,884620,32216239,32708481,25921517,174125,359763,1157342,212766,196935,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$25,000 under $50,000"
1512,NJ,5,572340,35263701,35749008,27122920,199928,487776,906028,316007,277509,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$50,000 under $75,000"
1513,NJ,6,391700,33992858,34409771,25446020,202385,531257,863410,395557,331099,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$75,000 under $100,000"
1514,NJ,7,674660,93047138,94256493,71847994,502041,1642411,2685474,1654107,1612674,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$100,000 under $200,000"
1515,NJ,8,242910,69363261,70582305,52112402,440302,1776685,3134063,2808867,4106338,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$200,000 under $500,000"
1516,NJ,9,38700,26080945,26651836,17172856,241826,890726,1167110,1936019,3887138,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$500,000 under $1,000,000"
1517,NJ,10,18200,51289797,51901963,21634693,1064801,2377860,1079876,11238776,10881562,,2014,3951413.0,39514.0,197571.0,395141.0,1975707.0,621296.0,247802.0,173350.0,48610.0,356128000000.0,67667531071.0,124031000000.0,164360000000.0,310720000000.0,252204000000.0,32197208858.0,73379448453.0,104768000000.0,216791000000.0,2966944914.0,1225453397.0,1615021327.0,1842967137.0,2657799027.0,8281714374.0,2946121539.0,4543601100.0,5383033225.0,7711987144.0,12650325826.0,1756557036.0,4485866973.0,5986223705.0,9885325806.0,18538008629.0,12525564152.0,15312203816.0,16377315919.0,18313306898.0,21261815315.0,13545035338.0,18067713444.0,19260062601.0,21051675682.0,"$1,000,000 or more"
1518,NM,0,911750,46264952,46894497,31733167,396603,965643,1446460,2233671,1977952,,2014,854909.0,8549.0,42745.0,85491.0,427455.0,313986.0,153299.0,112625.0,32680.0,46932439366.0,6441931062.0,13358985761.0,18913626891.0,39962254496.0,31394609418.0,2047326668.0,6328601876.0,10174830507.0,25869657084.0,373753248.0,109212908.0,175995606.0,214772432.0,329473437.0,944797788.0,368699489.0,564852204.0,659969670.0,886313260.0,1503893054.0,272398832.0,543396467.0,675652313.0,1116874523.0,2130694449.0,1341138737.0,1706888814.0,1846742289.0,2096994379.0,2160958564.0,1498853500.0,1863076383.0,1982008866.0,2151219490.0,No AGI Stub
1519,NM,1,14940,-955984,-930728,81000,21324,16101,-59721,91992,-185198,,2014,854909.0,8549.0,42745.0,85491.0,427455.0,313986.0,153299.0,112625.0,32680.0,46932439366.0,6441931062.0,13358985761.0,18913626891.0,39962254496.0,31394609418.0,2047326668.0,6328601876.0,10174830507.0,25869657084.0,373753248.0,109212908.0,175995606.0,214772432.0,329473437.0,944797788.0,368699489.0,564852204.0,659969670.0,886313260.0,1503893054.0,272398832.0,543396467.0,675652313.0,1116874523.0,2130694449.0,1341138737.0,1706888814.0,1846742289.0,2096994379.0,2160958564.0,1498853500.0,1863076383.0,1982008866.0,2151219490.0,Under $1
1520,NM,2,150880,771194,793532,604241,10036,13256,74691,4471,-2576,,2014,854909.0,8549.0,42745.0,85491.0,427455.0,313986.0,153299.0,112625.0,32680.0,46932439366.0,6441931062.0,13358985761.0,18913626891.0,39962254496.0,31394609418.0,2047326668.0,6328601876.0,10174830507.0,25869657084.0,373753248.0,109212908.0,175995606.0,214772432.0,329473437.0,944797788.0,368699489.0,564852204.0,659969670.0,886313260.0,1503893054.0,272398832.0,543396467.0,675652313.0,1116874523.0,2130694449.0,1341138737.0,1706888814.0,1846742289.0,2096994379.0,2160958564.0,1498853500.0,1863076383.0,1982008866.0,2151219490.0,"$1 under $10,000"
