,state,year,agi_stub,income_type,amount
164,IL,2012,10,returns,"18,550"
165,IN,2012,0,returns,"3,029,600"
166,IN,2012,1,returns,"34,820"
167,IN,2012,2,returns,"543,540"
168,IN,2012,3,returns,"701,820"
169,IN,2012,4,returns,"720,870"
170,IN,2012,5,returns,"415,460"
171,IN,2012,6,returns,"263,290"
172,IN,2012,7,returns,"281,200"
173,IN,2012,8,returns,"54,930"
174,IN,2012,9,returns,"9,260"
175,IN,2012,10,returns,"4,420"
176,IA,2012,0,returns,"1,426,710"
177,IA,2012,1,returns,"16,950"
178,IA,2012,2,returns,"209,460"
179,IA,2012,3,returns,"298,780"
180,IA,2012,4,returns,"351,460"
181,IA,2012,5,returns,"216,670"
182,IA,2012,6,returns,"142,750"
183,IA,2012,7,returns,"150,840"
184,IA,2012,8,returns,"32,060"
185,IA,2012,9,returns,"5,350"
186,IA,2012,10,returns,"2,400"
187,KS,2012,0,returns,"1,323,740"
188,KS,2012,1,returns,"17,570"
189,KS,2012,2,returns,"218,760"
190,KS,2012,3,returns,"285,950"
191,KS,2012,4,returns,"314,760"
192,KS,2012,5,returns,"185,900"
193,KS,2012,6,returns,"119,520"
194,KS,2012,7,returns,"139,920"
195,KS,2012,8,returns,"32,860"
196,KS,2012,9,returns,"5,690"
197,KS,2012,10,returns,"2,820"
198,KY,2012,0,returns,"1,879,100"
199,KY,2012,1,returns,"23,930"
200,KY,2012,2,returns,"315,420"
201,KY,2012,3,returns,"475,870"
202,KY,2012,4,returns,"458,380"
203,KY,2012,5,returns,"252,900"
204,KY,2012,6,returns,"155,110"
205,KY,2012,7,returns,"157,980"
206,KY,2012,8,returns,"31,910"
207,KY,2012,9,returns,"5,240"
208,KY,2012,10,returns,"2,360"
209,LA,2012,0,returns,"2,011,770"
210,LA,2012,1,returns,"26,000"
211,LA,2012,2,returns,"315,590"
212,LA,2012,3,returns,"550,680"
213,LA,2012,4,returns,"467,240"
214,LA,2012,5,returns,"246,830"
215,LA,2012,6,returns,"153,510"
216,LA,2012,7,returns,"193,400"
217,LA,2012,8,returns,"45,710"
218,LA,2012,9,returns,"8,270"
219,LA,2012,10,returns,"4,550"
220,ME,2012,0,returns,"631,380"
221,ME,2012,1,returns,"9,430"
222,ME,2012,2,returns,"100,980"
223,ME,2012,3,returns,"146,880"
224,ME,2012,4,returns,"158,760"
225,ME,2012,5,returns,"91,460"
226,ME,2012,6,returns,"54,820"
227,ME,2012,7,returns,"54,940"
228,ME,2012,8,returns,"11,550"
229,ME,2012,9,returns,"1,770"
230,ME,2012,10,returns,800
231,MD,2012,0,returns,"2,860,930"
232,MD,2012,1,returns,"32,030"
233,MD,2012,2,returns,"393,020"
234,MD,2012,3,returns,"541,790"
235,MD,2012,4,returns,"641,070"
236,MD,2012,5,returns,"403,860"
237,MD,2012,6,returns,"274,300"
238,MD,2012,7,returns,"431,800"
239,MD,2012,8,returns,"120,470"
240,MD,2012,9,returns,"15,130"
241,MD,2012,10,returns,"7,460"
242,MA,2012,0,returns,"3,264,490"
243,MA,2012,1,returns,"42,210"
244,MA,2012,2,returns,"494,760"
245,MA,2012,3,returns,"605,360"
246,MA,2012,4,returns,"723,500"
247,MA,2012,5,returns,"454,100"
248,MA,2012,6,returns,"296,520"
